Metric		Current
DUPLICATION_PERCENTAGE_PRIMARY_COMPONENTS		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CONSTANTS		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CONSTANTS		0
DUPLICATION_PERCENTAGE_PRIMARY_CONSTANTS		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CONTEXTS		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CONTEXTS		0
DUPLICATION_PERCENTAGE_PRIMARY_CONTEXTS		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_FEATURES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_FEATURES		0
DUPLICATION_PERCENTAGE_PRIMARY_FEATURES		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_PAGES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_PAGES		0
DUPLICATION_PERCENTAGE_PRIMARY_PAGES		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCHEMA		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCHEMA		0
DUPLICATION_PERCENTAGE_PRIMARY_SCHEMA		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SERVICES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SERVICES		0
DUPLICATION_PERCENTAGE_PRIMARY_SERVICES		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_TYPES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_TYPES		0
DUPLICATION_PERCENTAGE_PRIMARY_TYPES		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_UTILS		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_UTILS		0
